vertial stretch,center-y [nm],center-x [pixels],center-x [k-bar]
-0.05499999999999916,6200,115,2230000.0
-0.05499999999999916,6210,115,2230000.0
-0.05499999999999916,6220,115,2230000.0
-0.05499999999999916,6230,115,2230000.0
-0.05499999999999916,6240,115,2230000.0
-0.05499999999999916,6250,115,2230000.0
-0.05499999999999916,6260,115,2230000.0
-0.059999999999999165,6270,115,2230000.0
-0.059999999999999165,6280,115,2230000.0
-0.059999999999999165,6290,115,2230000.0
-0.059999999999999165,6300,115,2230000.0
-0.059999999999999165,6310,115,2230000.0
-0.059999999999999165,6320,115,2230000.0
-0.06499999999999917,6330,115,2230000.0
-0.06499999999999917,6340,115,2230000.0
-0.06499999999999917,6350,115,2230000.0
-0.06499999999999917,6360,115,2230000.0
-0.06499999999999917,6370,115,2230000.0
-0.11999999999999922,9320,115,2230000.0
-0.11999999999999922,9330,115,2230000.0
-0.11999999999999922,9340,115,2230000.0
-0.11999999999999922,9350,115,2230000.0
-0.12499999999999922,9360,115,2230000.0
-0.12499999999999922,9370,115,2230000.0
-0.12499999999999922,9380,115,2230000.0
-0.12499999999999922,9390,115,2230000.0
-0.12499999999999922,9400,115,2230000.0
-0.12499999999999922,9410,115,2230000.0
-0.12999999999999923,9420,115,2230000.0
-0.12999999999999923,9430,115,2230000.0
-0.12999999999999923,9440,115,2230000.0
-0.12499999999999922,9450,115,2230000.0
-0.12999999999999923,9460,115,2230000.0
-0.12999999999999923,9470,115,2230000.0
-0.12999999999999923,9480,115,2230000.0
-0.12999999999999923,9490,115,2230000.0
-0.13499999999999923,9500,115,2230000.0
-0.13499999999999923,9510,115,2230000.0
-0.13499999999999923,9520,115,2230000.0
-0.13499999999999923,9530,115,2230000.0
-0.13499999999999923,9540,115,2230000.0
-0.13499999999999923,9550,115,2230000.0
-0.13499999999999923,9560,115,2230000.0
-0.10999999999999921,9570,115,2230000.0
-0.05499999999999916,6200,125,2390000.0
-0.05499999999999916,6210,125,2390000.0
-0.05499999999999916,6220,125,2390000.0
-0.05499999999999916,6230,125,2390000.0
-0.05499999999999916,6240,125,2390000.0
-0.05499999999999916,6250,125,2390000.0
-0.05499999999999916,6260,125,2390000.0
-0.059999999999999165,6270,125,2390000.0
-0.059999999999999165,6280,125,2390000.0
-0.059999999999999165,6290,125,2390000.0
-0.059999999999999165,6300,125,2390000.0
-0.059999999999999165,6310,125,2390000.0
-0.059999999999999165,6320,125,2390000.0
-0.06499999999999917,6330,125,2390000.0
-0.06499999999999917,6340,125,2390000.0
-0.06499999999999917,6350,125,2390000.0
-0.06499999999999917,6360,125,2390000.0
-0.06499999999999917,6370,125,2390000.0
-0.059999999999999165,6380,125,2390000.0
-0.10999999999999921,9300,125,2390000.0
-0.10999999999999921,9310,125,2390000.0
-0.10999999999999921,9320,125,2390000.0
-0.10999999999999921,9330,125,2390000.0
-0.11499999999999921,9340,125,2390000.0
-0.10999999999999921,9350,125,2390000.0
-0.11499999999999921,9360,125,2390000.0
-0.11499999999999921,9370,125,2390000.0
-0.11999999999999922,9380,125,2390000.0
-0.11999999999999922,9390,125,2390000.0
-0.11499999999999921,9400,125,2390000.0
-0.11999999999999922,9410,125,2390000.0
-0.11999999999999922,9420,125,2390000.0
-0.11999999999999922,9430,125,2390000.0
-0.11999999999999922,9440,125,2390000.0
-0.11999999999999922,9450,125,2390000.0
-0.12499999999999922,9460,125,2390000.0
-0.12499999999999922,9470,125,2390000.0
-0.12499999999999922,9480,125,2390000.0
-0.12499999999999922,9490,125,2390000.0
-0.12499999999999922,9500,125,2390000.0
-0.12499999999999922,9510,125,2390000.0
-0.12499999999999922,9520,125,2390000.0
-0.12999999999999923,9530,125,2390000.0
-0.12999999999999923,9540,125,2390000.0
-0.12999999999999923,9550,125,2390000.0
-0.12999999999999923,9560,125,2390000.0
-0.12999999999999923,9570,125,2390000.0
-0.12499999999999922,9580,125,2390000.0
-0.12999999999999923,9590,125,2390000.0
-0.05499999999999916,6200,135,2550000.0
-0.05499999999999916,6210,135,2550000.0
-0.05499999999999916,6220,135,2550000.0
-0.05499999999999916,6230,135,2550000.0
-0.05499999999999916,6240,135,2550000.0
-0.05499999999999916,6250,135,2550000.0
-0.05499999999999916,6260,135,2550000.0
-0.059999999999999165,6270,135,2550000.0
-0.059999999999999165,6280,135,2550000.0
-0.059999999999999165,6290,135,2550000.0
-0.059999999999999165,6300,135,2550000.0
-0.059999999999999165,6310,135,2550000.0
-0.059999999999999165,6320,135,2550000.0
-0.06499999999999917,6330,135,2550000.0
-0.06499999999999917,6340,135,2550000.0
-0.06499999999999917,6350,135,2550000.0
-0.06499999999999917,6360,135,2550000.0
-0.06499999999999917,6370,135,2550000.0
-0.04499999999999915,6380,135,2550000.0
-0.0999999999999992,9350,135,2550000.0
-0.0999999999999992,9360,135,2550000.0
-0.0999999999999992,9370,135,2550000.0
-0.0999999999999992,9380,135,2550000.0
-0.0999999999999992,9390,135,2550000.0
-0.0999999999999992,9400,135,2550000.0
-0.0999999999999992,9410,135,2550000.0
-0.1049999999999992,9420,135,2550000.0
-0.1049999999999992,9430,135,2550000.0
-0.1049999999999992,9440,135,2550000.0
-0.1049999999999992,9450,135,2550000.0
-0.10999999999999921,9460,135,2550000.0
-0.1049999999999992,9470,135,2550000.0
-0.10999999999999921,9480,135,2550000.0
-0.10999999999999921,9490,135,2550000.0
-0.10999999999999921,9500,135,2550000.0
-0.10999999999999921,9510,135,2550000.0
-0.10999999999999921,9520,135,2550000.0
-0.10999999999999921,9530,135,2550000.0
-0.10999999999999921,9540,135,2550000.0
-0.10999999999999921,9550,135,2550000.0
-0.10999999999999921,9560,135,2550000.0
-0.10999999999999921,9570,135,2550000.0
-0.0999999999999992,9580,135,2550000.0
-0.1049999999999992,9590,135,2550000.0
-0.05499999999999916,6350,145,2710000.0
-0.05499999999999916,6370,145,2710000.0
-0.08499999999999919,9400,145,2710000.0
-0.08499999999999919,9410,145,2710000.0
-0.08499999999999919,9420,145,2710000.0
-0.08999999999999919,9430,145,2710000.0
-0.08999999999999919,9440,145,2710000.0
-0.08999999999999919,9450,145,2710000.0
-0.08999999999999919,9460,145,2710000.0
-0.08999999999999919,9470,145,2710000.0
-0.08999999999999919,9480,145,2710000.0
-0.08999999999999919,9490,145,2710000.0
-0.0949999999999992,9500,145,2710000.0
-0.08999999999999919,9510,145,2710000.0
-0.0949999999999992,9520,145,2710000.0
-0.0949999999999992,9530,145,2710000.0
-0.08999999999999919,9540,145,2710000.0
-0.08999999999999919,9550,145,2710000.0
-0.08499999999999919,9570,145,2710000.0
